id,country,date,title,video_link,tags
jp-shugiintv-55268,jp,2024-05-28,"拉致問題特別委員会 (2時間16分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0528-0930-13/playlist.m3u8,
jp-shugiintv-55267,jp,2024-05-28,"本会議 (08分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0528-1300-00/playlist.m3u8,
jp-shugiintv-55266,jp,2024-05-27,"政治改革特別委員会 (2時間58分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0527-1300-01/playlist.m3u8,
jp-shugiintv-55265,jp,2024-05-24,"国土交通委員会 (3時間12分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0524-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55264,jp,2024-05-24,"地域・こども・デジタル特別委員会 (3時間13分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0524-0850-17/playlist.m3u8,
jp-shugiintv-55263,jp,2024-05-24,"環境委員会 (18分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0524-0900-13/playlist.m3u8,committee-Q11574049
jp-shugiintv-55262,jp,2024-05-24,"経済産業委員会 (4時間30分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0524-0900-12/playlist.m3u8,committee-Q11606457
jp-shugiintv-55261,jp,2024-05-24,"内閣委員会 (3時間33分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0524-0900-15/playlist.m3u8,committee-Q11394651
jp-shugiintv-55260,jp,2024-05-24,"政治改革特別委員会 (3時間36分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0524-0900-01/playlist.m3u8,
jp-shugiintv-55259,jp,2024-05-23,"憲法審査会 (1時間37分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0523-1000-18/playlist.m3u8,
jp-shugiintv-55258,jp,2024-05-23,"総務委員会 (2時間40分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0523-0900-15/playlist.m3u8,committee-Q11607536
jp-shugiintv-55257,jp,2024-05-23,"政治改革特別委員会 (2時間28分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0523-0930-01/playlist.m3u8,
jp-shugiintv-55256,jp,2024-05-23,"本会議 (19分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0523-1300-00/playlist.m3u8,
jp-shugiintv-55255,jp,2024-05-22,"内閣委員会 (2時間53分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0522-1300-17/playlist.m3u8,committee-Q11394651
jp-shugiintv-55254,jp,2024-05-22,"国土交通委員会 (4時間20分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0522-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55253,jp,2024-05-22,"地域・こども・デジタル特別委員会 (2時間28分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0522-0920-15/playlist.m3u8,
jp-shugiintv-55252,jp,2024-05-22,"経済産業委員会 (4時間39分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0522-0900-12/playlist.m3u8,committee-Q11606457
jp-shugiintv-55251,jp,2024-05-22,"拉致問題特別委員会 (04分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0522-1000-11/playlist.m3u8,
jp-shugiintv-55250,jp,2024-05-22,"政治改革特別委員会 (24分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0522-1600-01/playlist.m3u8,
jp-shugiintv-55249,jp,2024-05-21,"国土交通委員会 (2時間43分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0521-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55248,jp,2024-05-21,"農林水産委員会 (5時間45分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0521-0900-17/playlist.m3u8,committee-Q11637970
jp-shugiintv-55247,jp,2024-05-21,"総務委員会 (3時間05分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0521-0900-15/playlist.m3u8,committee-Q11607536
jp-shugiintv-55246,jp,2024-05-21,"本会議 (51分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0521-1300-00/playlist.m3u8,
jp-shugiintv-55245,jp,2024-05-20,"決算行政監視委員会 (3時間16分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0520-0900-15/playlist.m3u8,committee-Q11552361
jp-shugiintv-55244,jp,2024-05-20,"予算委員会 (2時間48分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0520-1300-01/playlist.m3u8,committee-Q11371105
jp-shugiintv-55243,jp,2024-05-17,"国土交通委員会 (34分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0517-0900-18/playlist.m3u8,committee-Q11420650
jp-shugiintv-55242,jp,2024-05-17,"厚生労働委員会 (2時間06分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0517-1330-16/playlist.m3u8,committee-Q11409293
jp-shugiintv-55241,jp,2024-05-17,"財務金融委員会 (3時間20分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0517-0900-15/playlist.m3u8,committee-Q11634596
jp-shugiintv-55240,jp,2024-05-17,"法務委員会 (2時間43分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0517-0900-14/playlist.m3u8,committee-Q11555045
jp-shugiintv-55239,jp,2024-05-17,"経済産業委員会 (4時間43分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0517-0900-12/playlist.m3u8,committee-Q11606457
jp-shugiintv-55238,jp,2024-05-17,"外務委員会 (3時間13分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0517-0900-11/playlist.m3u8,committee-Q11430336
